,GEMs (Indiana)
erythrocyte/erythroid progenitor,0.27525389035643527
platelet,0.16240516997562437
monocyte,0.1039899232684238
nk cell,0.058849305613135096
b cell,0.056897957311567465
neutrophil,0.04184078408398813
endothelial cell,0.03713188668621679
mature conventional dendritic cell,0.027787226386199782
basophil,0.02386996711535092
adventitial cell,0.023409645980270385
thymocyte,0.021761508946493657
intestinal tuft cell,0.020512726494016347
cell of skeletal muscle,0.015782695581920494
salivary gland cell,0.012514591744060291
myeloid progenitor,0.012138232203744744
salivary/bronchial secretory cell,0.010709883357259434
basal cell,0.009408452421502688
respiratory ciliated cell,0.00782098399136597
schwann cell,0.007260262444647481
pancreatic stellate cell,0.0069893558078472215
intrahepatic cholangiocyte,0.006924643992046242
ionocyte/luminal epithelial cell of mammary gland,0.006597227195593861
medullary thymic epithelial cell,0.006448083749193637
kidney epithelial cell,0.005912751018744156
intestinal enterocyte,0.005476283020182223
t cell,0.004488607048052728
intestinal secretory cell,0.004061246165768912
pericyte cell,0.003545197714206098
basal cell of prostate epithelium,0.002405804990829042
prostate epithelia,0.0023153380956306446
secretory cell,0.0022083052208001254
respiratory secretory cell,0.0020828454486227846
pancreatic alpha/beta cell,0.0019377265750582567
type ii pneumocyte,0.0016804561104030557
innate lymphoid cell,0.0015424246742608179
hematopoietic stem cell,0.0014865087362456396
plasmablast,0.0011744220917517551
pancreatic ductal cell,0.000807176360287973
goblet cell,0.0006284494169765493
tendon cell,0.0005737017606482033
pancreatic acinar cell,0.0004749207103477549
club cell/type i pneumocyte,0.00030753038846076684
cardiac muscle cell,0.00023409534669660824
macrophage,0.00017342717294290487
pancreatic pp cell,0.00015752435025263048
plasma cell,2.0852875926291246e-05
melanocyte,0.0
stromal cell,0.0
fibroblast/mesenchymal stem cell,0.0
smooth muscle cell,0.0
mesothelial cell,0.0
intestinal crypt stem cell,0.0
gland cell,0.0
bladder urothelial cell,0.0
ciliated epithelial cell/epithelial cell of uterus,0.0
duodenum glandular cell,0.0
hepatocyte,0.0
mast cell,0.0
luminal cell of prostate epithelium,0.0
pancreatic delta cell,0.0
pulmonary ionocyte,0.0
keratinocyte,0.0
