,Adipocytes-tau,Atrial_Cardiomyocyte-tau,Mesothelial-tau,Pericytes-tau,Ventricular_Cardiomyocyte-tau
ENSG00000163710,0.8955360301922398,,,,
ENSG00000099194,0.9056206088992979,,,,
ENSG00000164270,,0.9335205144461552,,,
ENSG00000140506,,0.9623491262835525,,,
ENSG00000197616,,0.9992056731658638,,,
ENSG00000198336,,0.9992865411746296,,,
ENSG00000120937,,0.9994874110023226,,,
ENSG00000165899,,0.9489461358313813,,,
ENSG00000089225,,0.9716338183827594,,,
ENSG00000179914,,,0.9557408195683093,,
ENSG00000118849,,,0.872726201522985,,
ENSG00000172159,,,,0.8843332769984784,
ENSG00000121361,,,,0.8948746624478329,
ENSG00000113296,,,,0.9110917335193585,
ENSG00000182177,,,,,
ENSG00000186073,,,,,0.9503888056792305
ENSG00000089101,,,,,0.9098682095789133
ENSG00000187715,,,,,0.966623687603611
ENSG00000163827,,,,,0.9642282489564628
ENSG00000092054,,,,,0.9804458548517934
ENSG00000150722,,,,,0.9718127137634157
ENSG00000140986,,,,,0.9865027690879145
ENSG00000143499,,,,,0.9059705047967603
